Name,Year,Type,POINT_X,POINT_Y,coordinates
Kodachrome Basin State Park,2021,Park,-111.99,37.5181,"-111.99, 37.5181"
"Lakewood Village, TX",2019,Community,-96.9695,33.1426,"-96.9695, 33.1426"
Lyndon B Johnson National Historical Park,2021,Park,-98.606043,30.243271,"-98.606043, 30.243271"
Mammoth Cave National Park,2021,Park,-86.100363,37.185989,"-86.100363, 37.185989"
Massacre Rim Wilderness Study Area,2019,Sanctuary,-119.684207,41.700787,"-119.684207, 41.700787"
Mayland Earth to Sky Park & Bare Dark Sky Observatory,2014,Park,-82.18417,35.92797,"-82.18417, 35.92797"
Medicine Rocks State Park,2020,Sanctuary,-104.45839,46.0455,"-104.45839, 46.0455"
Mesa Verde National Park,2021,Park,-108.446509,37.240558,"-108.446509, 37.240558"
Middle Fork River Forest Preserve,2018,Park,-87.970324,40.383024,"-87.970324, 40.383024"
Milton Reimers Ranch Park,2021,Park,-98.45167,30.33507,"-98.45167, 30.33507"
Mont-Megantic,2007,Reserve,-71.1625,45.45543,"-71.1625, 45.45543"
Natural Bridge State Park,2021,Park,-79.543573,37.633539,"-79.543573, 37.633539"
Natural Bridges National Monument,2007,Park,-110.011181,37.602595,"-110.011181, 37.602595"
"Naturita, CO",2021,Community,-108.569,38.2183,"-108.569, 38.2183"
Newport State Park,2017,Park,-86.986269,45.243152,"-86.986269, 45.243152"
North Fork Park,2015,Park,-111.906608,41.370495,"-111.906608, 41.370495"
"Norwood, CO",2019,Community,-108.292304,38.130546,"-108.292304, 38.130546"
"Nucla, CO",2021,Community,-108.548,38.2694,"-108.548, 38.2694"
Obed Wild and Scenic River,2017,Park,-84.850845,36.125674,"-84.850845, 36.125674"
Oracle State Park,2014,Park,-110.727123,32.620104,"-110.727123, 32.620104"
Palos Preserves,2021,Urban Night Sky Place,-87.873473,41.707369,"-87.873473, 41.707369"
Petrified Forest National Park,2018,Park,-109.707994,34.974477,"-109.707994, 34.974477"
Pickett-Pogue,2015,Park,-84.825096,36.545225,"-84.825096, 36.545225"
Pipe Springs National Monument,2021,Park,-112.527,36.9455,"-112.527, 36.9455"
Pisgah Astronomical Research Institute,2020,Park,-82.87778,35.20326,"-82.87778, 35.20326"
Prineville Reservoir State Park,2021,Park,-120.729331,44.134575,"-120.729331, 44.134575"
Quetico Provincial Park,2021,Park,-91.532241,48.428521,"-91.532241, 48.428521"
Rainbow Bridge National Monument,2018,Sanctuary,-110.86583,37.07514,"-110.86583, 37.07514"
Rappahannock County Park,2019,Park,-78.147103,38.720505,"-78.147103, 38.720505"
"Ridgway, CO",2020,Community,-107.758879,38.151438,"-107.758879, 38.151438"
Rockport State Park,2021,Park,-111.375,40.7544,"-111.375, 40.7544"
Salinas Pueblo Missions National Monument,2016,Park,-106.295362,34.595652,"-106.295362, 34.595652"
"Sedona, AZ",2014,Community,-111.78056,34.85978,"-111.78056, 34.85978"
Sky Meadows State Park,2021,Park,-77.968913,38.988703,"-77.968913, 38.988703"
Slumgullion Center,2020,Park,-107.26417,37.9879,"-107.26417, 37.9879"
South Llano River State Park,2017,Park,-99.800289,30.425179,"-99.800289, 30.425179"
Stacy Park,2021,Urban Night Sky Place,-90.392922,38.669773,"-90.392922, 38.669773"
Staunton River State Park,2015,Park,-78.667597,36.697582,"-78.667597, 36.697582"
Steinaker State Park,2018,Park,-109.531415,40.519648,"-109.531415, 40.519648"
Stephen C. Foster State Park,2016,Park,-82.364797,30.823219,"-82.364797, 30.823219"
Sunset Crater Volcano National Monument,2016,Park,-111.51019,35.371756,"-111.51019, 35.371756"
Timpanogos Cave National Monument,2020,Urban Night Sky Place,-111.796,40.3769,"-111.796, 40.3769"
Tonto National Monument,2019,Park,-111.113553,33.646925,"-111.113553, 33.646925"
Top of the Pines Recreation Area,2021,Park,-107.794272,38.11139,"-107.794272, 38.11139"
"Torrey, UT",2018,Community,-111.27361,38.29572,"-111.27361, 38.29572"
Tumacacori National Historical Park,2018,Park,-111.047648,31.57274,"-111.047648, 31.57274"
UBarU Camp and Retreat Center,2015,Park,-99.27342,30.189068,"-99.27342, 30.189068"
Valle de Oro National Wildlife Refuge,2019,Urban Night Sky Place,-106.67638,34.978561,"-106.67638, 34.978561"
Valles Caldera National Preserve,2021,Park,-106.505585,35.921308,"-106.505585, 35.921308"
Village of Oak Creek,2016,Community,-111.76306,34.77514,"-111.76306, 34.77514"
Walnut Canyon National Monument,2016,Park,-111.511385,35.17354,"-111.511385, 35.17354"
Watoga State Park,2021,Park,-80.127892,38.116768,"-80.127892, 38.116768"
"Westcliffe & Silver Cliff, CO",2015,Community,-105.45861,38.13551,"-105.45861, 38.13551"
"Wimberley Valley, TX",2018,Community,-98.091087,29.990185,"-98.091087, 29.990185"
Wupatki National Monument,2016,Park,-111.344032,35.564071,"-111.344032, 35.564071"
Zion National Park,2021,Park,-112.987,37.2008,"-112.987, 37.2008"
